Date,Status,Quantity
17/11/2022 07:26:26,Out of stock,0
17/11/2022 07:48:48,,1
17/11/2022 08:54:31,Out of stock,0
17/11/2022 09:12:04,Out of stock,0
17/11/2022 09:40:57,Out of stock,0
17/11/2022 10:32:44,Out of stock,0
17/11/2022 11:48:44,Out of stock,0
17/11/2022 12:24:28,Out of stock,0
17/11/2022 13:06:33,Out of stock,0
17/11/2022 13:44:50,Out of stock,0
17/11/2022 13:54:44,Out of stock,0
17/11/2022 14:11:03,Out of stock,0
17/11/2022 14:28:19,Out of stock,0
17/11/2022 14:48:29,Out of stock,0
17/11/2022 15:12:19,Out of stock,0
17/11/2022 15:31:58,Out of stock,0
17/11/2022 15:49:55,Out of stock,0
17/11/2022 17:13:15,Out of stock,0
17/11/2022 17:48:37,Out of stock,0
17/11/2022 18:36:11,Out of stock,0
17/11/2022 18:52:02,Out of stock,0
17/11/2022 19:09:55,Out of stock,0
17/11/2022 19:34:27,Out of stock,0
17/11/2022 19:48:33,Out of stock,0
17/11/2022 20:12:29,Out of stock,0
17/11/2022 20:48:45,Out of stock,0
17/11/2022 21:10:40,Out of stock,0
17/11/2022 21:27:00,Out of stock,0
17/11/2022 21:37:07,Out of stock,0
17/11/2022 22:11:43,Out of stock,0
17/11/2022 23:12:41,Out of stock,0
17/11/2022 23:31:16,Out of stock,0
17/11/2022 23:48:46,Out of stock,0
18/11/2022 01:05:27,Out of stock,0
18/11/2022 02:58:09,Out of stock,0
18/11/2022 03:41:35,Out of stock,0
18/11/2022 04:01:00,Out of stock,0
18/11/2022 04:53:04,Out of stock,0
18/11/2022 05:11:29,Out of stock,0
18/11/2022 05:28:17,Out of stock,0
18/11/2022 05:38:42,Out of stock,0
18/11/2022 05:48:42,Out of stock,0
18/11/2022 06:38:49,Out of stock,0
18/11/2022 07:11:12,Out of stock,0
18/11/2022 07:27:00,Out of stock,0
18/11/2022 07:35:58,Out of stock,0
18/11/2022 08:51:20,Out of stock,0
18/11/2022 09:11:51,Out of stock,0
18/11/2022 09:29:31,Out of stock,0
18/11/2022 09:49:03,Out of stock,0
